Size;Forward;Reverse;Random
1024;9.732813;9.732813;9.733984
1228;9.755375;9.878176;9.885016
1472;9.991033;10.097554;9.945924
1764;9.961451;10.091610;9.856463
2116;9.876560;10.257467;10.013989
2536;10.322555;11.181703;10.223028
3040;9.740263;11.011053;9.732237
3648;9.738268;9.738268;9.731579
4376;9.737020;9.737020;9.743510
5248;9.740854;9.740854;9.743902
6296;9.739072;9.739072;9.736722
7552;9.737606;9.737606;9.739089
9060;9.736689;11.006799;9.736821
10872;9.737822;9.737822;9.730942
13044;9.736676;9.736676;9.752101
15652;9.737388;9.737388;9.738155
18780;9.737487;9.737487;9.731033
22536;9.737504;9.743166;9.738818
27040;9.737293;9.737396;9.779127
32448;9.746832;9.741124;9.814929
38936;9.738669;9.739922;10.892172
46720;9.739024;9.738870;11.859384
56064;9.738221;9.738392;12.617951
67276;9.738338;9.738302;13.246840
80728;9.737330;9.738361;10.246923
96872;9.770332;9.981848;14.163370
116244;9.755232;9.754282;14.416710
139492;10.121478;9.765099;15.046242
167388;9.874792;9.762394;16.310051
200864;9.758786;9.892522;16.274964
241036;9.934131;9.754518;17.382116
289240;9.765279;9.760592;19.504627
347088;9.757638;9.757168;22.506242
416504;9.760535;9.759985;26.450549
499804;9.976253;9.761310;28.990891
599764;9.760897;9.760541;31.202481
719716;9.761974;9.760711;33.102897
863656;9.787297;9.988109;34.717415
1036384;9.992402;9.992485;36.275742
1243660;9.761940;9.762472;37.241062
1492392;9.762088;9.760937;38.244715
1790868;9.776092;9.775886;39.107809
2149040;9.790233;10.004622;41.417940
2578848;9.897702;9.806028;47.984034
3094616;9.824611;10.030177;55.635913
3713536;9.836778;10.035479;74.546432
4456240;9.843577;9.843267;95.933527
5347488;9.847633;9.846735;114.770305
6416984;9.855415;9.841773;130.854648
7700380;9.853323;9.848583;130.541220
9240456;9.867569;10.038905;150.653533
11088544;9.848371;9.854195;159.272201
13306252;9.864298;9.842310;169.023792
15967500;9.850606;9.856903;175.863793
